customerID,SeniorCitizen,Tenure,Contract,InternetService,TechSupport,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,SupportTickets,LatePayments,Churn
C000001,0,16,One year,DSL,Yes,No,Electronic check,93.13,1387.29,2,0,No
C000002,0,61,Two year,No internet,No,Yes,Electronic check,79.26,5009.32,1,0,No
C000003,0,25,One year,Fiber optic,No,Yes,Bank transfer,130.0,3482.72,0,1,No
C000004,0,31,Month-to-month,No internet,No,No,Mailed check,100.7,2739.22,1,1,Yes
C000005,0,15,Month-to-month,No internet,No,No,Electronic check,69.75,1052.1,3,1,Yes
C000006,0,17,Two year,DSL,No,Yes,Electronic check,68.96,1163.26,1,0,No
C000007,0,40,Month-to-month,No internet,No,Yes,Credit card,58.49,2296.45,3,0,No
C000008,0,13,Two year,Fiber optic,No,Yes,Mailed check,96.54,1285.19,1,1,No
C000009,0,5,One year,Fiber optic,No,Yes,Credit card,36.03,177.88,0,0,No
C000010,0,3,Month-to-month,No internet,No,Yes,Electronic check,88.36,258.43,0,0,Yes
C000011,0,44,Month-to-month,Fiber optic,Yes,No,Electronic check,51.19,2412.95,1,0,Yes
C000012,0,7,Month-to-month,Fiber optic,Yes,Yes,Bank transfer,19.64,129.34,1,1,No
C000013,0,15,Month-to-month,DSL,Yes,Yes,Credit card,90.8,1327.39,2,3,Yes
C000014,0,3,Month-to-month,Fiber optic,No,No,Electronic check,76.94,224.71,4,1,Yes
C000015,0,52,Month-to-month,DSL,No,Yes,Credit card,73.3,3623.08,3,2,No
C000016,0,12,One year,Fiber optic,No,Yes,Bank transfer,58.3,676.72,1,0,No
C000017,0,9,Two year,Fiber optic,No,No,Credit card,65.59,639.63,0,0,No
C000018,1,24,One year,No internet,No,No,Credit card,50.2,1142.69,4,0,No
C000019,0,38,One year,Fiber optic,No,No,Mailed check,99.89,4365.16,1,1,Yes
C000020,0,33,Two year,Fiber optic,No,Yes,Credit card,100.67,3000.88,0,1,No
C000021,0,15,Month-to-month,DSL,No,Yes,Electronic check,65.09,831.94,2,0,Yes
C000022,0,15,Month-to-month,DSL,No,No,Mailed check,66.58,955.04,0,0,Yes
C000023,0,10,One year,No internet,No,Yes,Mailed check,73.55,677.93,3,2,Yes
C000024,0,40,Month-to-month,DSL,Yes,Yes,Electronic check,89.13,3827.98,2,0,No
C000025,1,57,Month-to-month,No internet,Yes,No,Mailed check,72.1,4216.7,0,1,No
C000026,0,24,Month-to-month,Fiber optic,No,No,Bank transfer,54.91,1230.22,2,0,Yes
C000027,0,20,Month-to-month,Fiber optic,No,No,Electronic check,60.54,1193.93,1,1,No
C000028,0,14,Two year,Fiber optic,Yes,Yes,Mailed check,73.51,1007.81,1,1,No
C000029,0,43,One year,Fiber optic,No,Yes,Mailed check,62.83,3126.13,2,1,No
C000030,0,8,Month-to-month,Fiber optic,Yes,Yes,Electronic check,56.7,456.73,1,0,No
C000031,0,19,Month-to-month,Fiber optic,No,No,Bank transfer,97.49,1879.07,1,0,Yes
C000032,0,30,Month-to-month,Fiber optic,Yes,No,Electronic check,77.09,2383.22,1,0,Yes
C000033,0,8,Month-to-month,DSL,Yes,Yes,Bank transfer,89.57,725.2,2,1,Yes
C000034,0,17,Month-to-month,DSL,Yes,No,Bank transfer,44.31,751.86,1,3,No
C000035,0,6,One year,Fiber optic,Yes,No,Bank transfer,87.61,497.31,0,0,No
C000036,0,32,Month-to-month,DSL,Yes,Yes,Credit card,67.28,2160.84,0,1,No
C000037,1,24,Month-to-month,Fiber optic,Yes,No,Credit card,60.25,1461.5,1,0,No
C000038,0,38,Month-to-month,Fiber optic,No,Yes,Mailed check,49.51,1725.33,4,1,Yes
C000039,0,29,Two year,Fiber optic,Yes,No,Electronic check,50.63,1472.55,0,1,No
C000040,0,39,Month-to-month,DSL,No,Yes,Electronic check,54.85,1972.58,0,1,No
C000041,0,17,Month-to-month,Fiber optic,No,No,Credit card,69.63,1061.34,1,0,No
C000042,0,39,Two year,Fiber optic,No,Yes,Bank transfer,64.61,2503.52,3,0,No
C000043,0,11,Month-to-month,DSL,No,No,Credit card,117.19,1326.96,1,0,No
C000044,0,16,Two year,No internet,No,Yes,Credit card,78.82,1330.01,0,0,No
C000045,0,11,One year,Fiber optic,Yes,Yes,Bank transfer,72.88,772.87,0,0,No
C000046,0,9,One year,DSL,No,No,Credit card,64.49,527.73,1,2,No
C000047,0,30,Month-to-month,Fiber optic,No,Yes,Bank transfer,46.75,1323.45,1,2,No
C000048,1,46,Month-to-month,Fiber optic,No,No,Bank transfer,46.41,2096.68,0,0,No
C000049,0,17,Month-to-month,Fiber optic,No,No,Credit card,75.74,1275.89,0,1,No
C000050,0,18,Two year,Fiber optic,Yes,Yes,Bank transfer,28.54,527.18,2,3,No
C000051,1,14,Month-to-month,No internet,No,Yes,Bank transfer,107.57,1485.89,1,2,Yes
C000052,0,53,One year,Fiber optic,Yes,Yes,Credit card,106.21,5976.3,0,0,No
C000053,1,4,Month-to-month,Fiber optic,No,No,Mailed check,29.59,113.52,0,0,No
C000054,1,7,Month-to-month,No internet,No,No,Bank transfer,97.28,698.77,1,0,No
C000055,0,30,Month-to-month,Fiber optic,Yes,Yes,Electronic check,94.59,2941.77,1,2,No
C000056,0,6,Month-to-month,DSL,No,No,Mailed check,95.27,583.86,0,0,No
C000057,0,9,Two year,DSL,No,Yes,Credit card,83.9,777.92,2,3,No
C000058,0,22,Month-to-month,Fiber optic,No,Yes,Credit card,108.19,2218.1,0,1,Yes
C000059,0,11,Two year,No internet,No,No,Credit card,46.63,539.23,2,1,No
C000060,0,15,One year,Fiber optic,No,Yes,Bank transfer,55.39,803.43,2,0,No
C000061,0,4,One year,DSL,No,No,Credit card,82.2,324.51,0,1,No
C000062,0,22,One year,No internet,Yes,Yes,Credit card,68.23,1405.91,4,0,No
C000063,0,35,One year,Fiber optic,Yes,Yes,Bank transfer,30.97,1105.99,2,0,No
C000064,0,48,Month-to-month,DSL,No,Yes,Electronic check,87.53,4080.73,2,1,Yes
C000065,0,37,Month-to-month,Fiber optic,Yes,No,Electronic check,92.73,3282.29,1,0,No
C000066,0,49,Month-to-month,DSL,Yes,No,Bank transfer,61.58,3136.56,0,0,No
C000067,0,46,Month-to-month,DSL,No,No,Bank transfer,76.52,3350.67,0,2,No
C000068,0,11,Month-to-month,Fiber optic,No,Yes,Bank transfer,90.99,1021.0,0,0,Yes
